num|anio|doc
2|2017|CCO-INDECOPI-LOR
95|2013|CCO-INDECOPI
3|2004|CCO-INDECOPI-LOR
87|2020|CCO- INDECOPI
27|2004|CCO-ODI-ULI
170|2004|CCO-ODI-ESN
45|2019|CCO- INDECOPI
187|2000|CRP-ODI-ULI
41|2001|CRP-ODI-ULI
13|2021|CCO-INDECOPI
158|2004|CCO-ODI-ESN
196|2014|CCO-INDECOPI
8|2017|ILN-CCO
1|1999|CSM-PIURA
62|1996|CSM
95|2016|CCO-INDECOPI
10|2011|CCO-INDECOPI
25|2000|CRP-LBT
85|2018|CCO-INDECOPI
76|2018|CCO-INDECOPI
29|2001|CRP-AQP
320|1998|CSM-ODI-CCPL
6|1998|CRP-ODICIX-CCPL
78|2000|CRP-ODI-ULI
216|2012|CCO-INDECOPI
73|2020|CCO-INDECOPI
108|2016|CCO-INDECOPI
147|2001|CRP-ODI-ULI
7|2008|CCO-INDECOPI-LAL
14|2004|CCO-ODI-UDP
50|2004|CCO-INDECOPI
114|2004|CCO-ODI-ULI
607|1999|CRP-ODI-CAM
105|2015|ILN-CCO
93|2004|CCO-ODI-UDP
159|1999|CSM-ODI-ULI
137|2014|CCO-INDECOPI
9|1996|CRP-ODICIX-CCPL
58|2002|CRP-AQP
312|2006|CCO-INDECOPI
31|2004|CCO-INDECOPI
17|2002|CRP-LBT
150|1996|CRE-CAL
43|2000|CRP-LBT
97|2021|CCO-INDECOPI
69|2002|CCO-ODI-UDP
13|2004|CCO-INDECOPI-PIU
35|2003|CCO-INDECOPI-AQP
120|2009|CCO-INDECOPI
16|2019|CCO- INDECOPI
258|2008|CCO-INDECOPI
652|1999|CRP-ODI-CAM
485|1998|CSM-ODI-CAL
7|2004|CCO-INDECOPI-LAL
1|2019|CCO-INDECOPI-AQP
1|2000|CRP-ODI-ULI
83|2014|ILN-CCO
90|2001|CRP-ODI-ULI
5|1996|CRP-IQT
77|2000|CRP-ODI-ULI
11|2011|CCO-INDECOPI-LAL
42|2007|CCO-INDECOPI-LAM
60|1993|CSM
1|1998|CRP-LBT
137|2004|CCO-ODI-UDP
768|2000|CRP-ODI-CAM
105|2000|CRP-ODI-ULI
12|2000|CRP-PIURA
71|2004|CCO-ODI-UDP
24|2014|CCO-INDECOPI
24|1998|CRP-LBT
17|1998|CRP-AQP
29|2001|CRP-ODI-CCPL
735|2000|CRP-ODI-CAM
85|2010|CCO-INDECOPI
82|2018|CCO-INDECOPI
5|2020|CCO-INDECOPI-AQP
22|1999|CRP-AQP
15|2009|CCO-INDECOPI-AQP
372|2006|CCO-INDECOPI
11|1998|CRP-AQP
5|2005|CCO-INDECOPI-AQP
16|2001|CRP-LBT
21|1999|CRP-AQP
3|2003|CCO-INDECOPI-LOR
12|2001|CRP-ODI-ULI
9|2009|CCO-INDECOPI-LAL
162|1997|CRE-CAL
460|1998|CSM-ODI-CAL
2|2020|CCO-PARC
94|1999|CSM-ODI-ULI
204|1999|CRP-ODI-ULI
2|2008|CCO-INDECOPI-PIU
8|2011|CCO-INDECOPI-LAL
11|2004|CCO-INDECOPI-CUS
132|2003|CCO-ODI-ULI
84|2001|CRP-ODI-ULI
118|2000|CRP-ODI-CCPL
70|2004|CCO-ODI-UDP
26|2010|CCO-INDECOPI-LAL
66|2012|CCO-INDECOPI
362|1998|CSM-ODI-CAL
5|2020|CCO-INDECOPI
1120|2001|CRP-ODI-CAM
8|1999|CRP-PIURA
55|2021|CCO-INDECOPI
445|2009|CCO-INDECOPI
96|2016|CCO-INDECOPI
102|2004|CCO-INDECOPI
4|2009|CCO-INDECOPI-AQP
33|2010|CCO-INDECOPI-LAL
49|1999|CSM-ODI-CCPL
29|2012|CCO-INDECOPI
230|2001|CRP-ODI-ULI
42|2003|CCO-ODI-ESN
84|2003|CCO-ODI-UDP
38|2000|CRP-LBT
7|2001|CRP-LBT
24|2000|CRP-ODI-ULI
16|2012|CCO-INDECOPI-AQP
95|2004|CCO-ODI-UDP
125|2000|CRP-ODI-CCPL
132|2019|CCO-INDECOPI
12|2002|CCO-INDECOPI-LOR
45|2016|ILN-CCO
5|1995|CRP-ODICIX-CCPL
17|2012|CCO-INDECOPI-LAL
94|2019|CCO- INDECOPI
33|2001|CRP-ODI-CCPL
224|1999|CRP-ODI-CCPL
169|2006|CCO-INDECOPI
3|2019|CCO-INDECOPI
5|1996|CRP-AQP
20|2000|CRP-AQP
156|2014|ILN-CCO
6|2018|CCO-INDECOPI-LOR
945|2001|CRP-ODI-CAM
11|2005|CCO-INDECOPI-PIU
211|2000|CRP-ODI-CCPL
126|2007|CCO-INDECOPI
125|2004|CCO-ODI-ULI
45|2004|CCO-INDECOPI
3|2006|CCO-INDECOPI-LAM
289|2001|CRP-ODI-ULI
4|1997|CRP-ODICIX-CCPL
126|2020|CCO-INDECOPI
6|2003|CCO-ODI-UDP
9|2011|CCO-INDECOPI-LAL
18|2008|CCO-INDECOPI-AQP
4|1998|CRP-LBT
8|2017|CCO-INDECOPI-LOR
36|2009|CCO-INDECOPI
2|1999|CRP-LBT
1074|2001|CRP-ODI-CAM
3|1998|CRP-AQP
11|2002|CRP-ODICIX-CCPL
309|2006|CCO-INDECOPI
14|2008|CCO-INDECOPI
78|2003|CCO-ODI-UDP
8|2017|ILN-CCO
43|2017|CCO-INDECOPI
21|2006|CCO-INDECOPI-AQP
1|1995|CRP-AQP
84|2016|CCO-INDECOPI
11|2014|CCO-INDECOPI-AQP
26|2014|CCO-INDECOPI-AQP
501|2006|CCO-INDECOPI
109|2018|CCO-INDECOPI
70|2021|CCO-INDECOPI
18|2000|CRP-AQP
17|2020|CCO-PARC
130|2021|CCO-INDECOPI
4|2019|CCO-INDECOPI
92|2000|CRP-ODI-ULI
2|2018|CCO-INDECOPI-LOR
229|2006|CCO-INDECOPI
16|2011|CCO-INDECOPI-LAL
38|2014|CCO-INDECOPI-AQP
83|2002|CRP-AQP
1|2018|CCO-INDECOPI-LOR
9|1998|CRP-AEP
1|2001|CRP-ODI-ULI
72|2004|CCO-ODI-ESN
14|2011|CCO-INDECOPI-PIU
112|2006|CCO-INDECOPI
22|2000|CRP-IQT
411|1998|CSM-ODI-CAL
75|2003|CCO-ODI-ULI
109|2014|CCO-INDECOPI
37|2003|CCO-ODI-ULI
43|2004|CCO-ODI-ESN
88|2019|CCO-INDECOPI
226|2001|CRP-ODI-ULI
39|1996|CCE-CCPL
367|2005|CCO-INDECOPI
18|2003|CCO-ODI-ULI
74|2004|CCO-ODI-UDP
34|2014|CCO-INDECOPI-AQP
62|2020|CCO- INDECOPI
5|2017|CCO-INDECOPI-LOR
121|2017|CCO-INDECOPI
16|1998|CRP-AQP
45|2011|ILN-CCO
51|2010|CCO-INDECOPI-LAM
4|2015|CCO-INDECOPI-LOR
14|1999|CRP-ODICIX-CCPL
18|2020|CCO-PARC
1|2014|CCO-INDECOPI-LOR
156|2005|CCO-INDECOPI
104|2000|CRP-ODI-ULI
73|2000|CRP-ODI-PUC
47|2006|CCO-INDECOPI
94|2016|CCO-INDECOPI
182|2000|CRP-ODI-CCPL
24|2013|CCO-INDECOPI-AQP
101|2004|CCO-ODI-UDP
1|2000|CRP-AQP
90|2003|CCO-ODI-UDP
58|2021|CCO-INDECOPI
13|1999|CRP-ODICIX-CCPL
94|2015|ILN-CCO
65|2002|CRP-ODI-ULI
93|2017|CCO-INDECOPI
48|2016|ILN-CCO
28|2004|CCO-ODI-ESN
8|2009|CCO-INDECOPI-LAL
112|2015|CCO-INDECOPI
157|2006|CCO-INDECOPI
13|2001|CRP-AQP
5|2000|CRP-LBT
47|2018|CCO-INDECOPI
23|2012|CCO-INDECOPI-AQP
14|2021|CCO-INDECOPI-AQP
100|2015|CCO-INDECOPI
82|2009|CCO-INDECOPI-LAM
10|2003|CCO-INDECOPI-PIU
3|2006|CCO-INDECOPI-PIU
14|2000|CRP-IQT
66|2009|CCO-INDECOPI
93|2001|CRP-ODI-ULI
21|2011|CCO-INDECOPI-LAM
5|2012|CCO-INDECOPI
81|2002|CRP-AQP
84|2002|CCO-INDECOPI-AQP
33|2003|CCO-INDECOPI-AQP
82|2000|CRP-AQP
102|2004|CCO-ODI-UDP
99|2001|CRP-ODI-CCPL
150|2000|CRP-ODI-CCPL
88|2001|CRP-ODI-CCPL
227|2012|CCO-INDECOPI
18|2011|CCO-INDECOPI-LAL
68|2000|CRP-AQP
15|1998|CRP-AQP
716|2000|CRP-ODI-CAM
99|2017|CCO-INDECOPI
10|1999|CRP-AQP
45|2001|CRP-LBT
5|2004|CCO-INDECOPI-CUS
9|2008|CCO-INDECOPI-LAL
143|2021|CCO-INDECOPI
100|2015|CCO-INDECOPI
217|2006|CCO-INDECOPI
3|1997|CRP-LBT
118|2015|CCO-INDECOPI
30|2016|CCO-INDECOPI
267|2011|CCO-INDECOPI
138|2007|CCO-INDECOPI
65|2021|CCOINDECOPI
203|2001|CRP-ODI-ULI
67|2003|CCO-ODI-ULI
214|2013|CCO-INDECOPI
8|1998|CRP-AQP
19|2008|CCO-INDECOPI-LAM
125|2017|CCO-INDECOPI
6|2003|CCO-INDECOPI-LAL
8|1998|CRP-ODICIX-CCPL
22|2003|CCO-INDECOPI-AQP
85|2015|ILN-CCO
5|2011|CCO-INDECOPI-PIU
11|2022|CCOINDECOPI
96|2021|CCO-INDECOPI
59|2021|CCO-INDECOPI
16|2021|CCO-INDECOPI-AQP
60|2022|CCO-INDECOPI
61|2022|CCO-INDECOPI
8|2006|CCO-INDECOPI-PIU
99|2021|CCO-INDECOPI
279|2006|CCO-INDECOPI
102|2019|CCO-INDECOPI
104|2021|CCO-INDECOPI
25|2022|CCO-INDECOPI
102|2021|CCO-INDECOPI
133|2021|CCO-INDECOPI
14|2017|CCO-INDECOPI
95|2021|CCO-INDECOPI
90|2019|CCO-INDECOPI
111|2020|CCOINDECOPI
936|2000|CRP-ODI-CAM
15|2019|CCO-INDECOPI
13|2007|CCO-INDECOPI-LAL
436|2006|CCO-INDECOPI
118|2004|CCO-ODI-ESN
221|1998|CSM-ODI-CCPL
52|2019|CCO-INDECOPI
626|1999|CRP-ODI-CAM
121|2012|CCO-INDECOPI
26|2003|CCO-ODI-ULI
89|2004|CCO-ODI-ULI
72|2015|ILN-CCO
200|2008|CCO-INDECOPI
35|2009|CCO-INDECOPI-LAM
69|2021|CCO-INDECOPI
9|2020|CCO-INDECOPI
15|2020|CCO-PARC
8|2015|CCO-INDECOPI-LOR
64|2021|CCO-INDECOPI
139|2019|CCO-INDECOPI
189|2001|CRP-ODI-ULI
64|2002|CRP-PIURA
116|2021|CCO-INDECOPI
94|2020|CCO-INDECOPI
14|2021|CCO-INDECOPI
8|2004|CCO-ODI-UDP
828|2000|CRP-ODI-CAM
